Date_Time,North_Pole_Field_Gauss,South_Pole_Field_Gauss,Average_Field_Gauss,North_Filtered_Gauss,South_Filtered_Gauss,Average_Filtered_Gauss
2006:05:24_21h:07m:13s,-55N,51S,-53Avg,-59Nf,57Sf,-58Avgf
2006:06:03_21h:07m:13s,-56N,51S,-54Avg,-60Nf,57Sf,-58Avgf
2006:06:13_21h:07m:13s,-56N,50S,-53Avg,-60Nf,57Sf,-58Avgf
2006:06:23_21h:07m:13s,-76N,51S,-64Avg,-60Nf,57Sf,-59Avgf
2006:07:03_21h:07m:13s,-81N,53S,-67Avg,-61Nf,57Sf,-59Avgf
2006:07:13_21h:07m:13s,-83N,48S,-66Avg,-61Nf,57Sf,-59Avgf
2006:07:23_21h:07m:13s,-84N,46S,-65Avg,-62Nf,57Sf,-59Avgf
2006:08:02_21h:07m:13s,-88N,39S,-64Avg,-62Nf,57Sf,-60Avgf
2006:08:12_21h:07m:13s,-87N,37S,-62Avg,-62Nf,58Sf,-60Avgf
2006:08:22_21h:07m:13s,-88N,36S,-62Avg,-62Nf,58Sf,-60Avgf
2006:09:01_21h:07m:13s,-90N,34S,-62Avg,-63Nf,58Sf,-60Avgf
2006:09:11_21h:07m:13s,-89N,35S,-62Avg,-63Nf,58Sf,-60Avgf
2006:09:21_21h:07m:13s,-86N,28S,-57Avg,-63Nf,58Sf,-61Avgf
2006:10:01_21h:07m:13s,-85N,30S,-57Avg,-63Nf,58Sf,-61Avgf
2006:10:11_21h:07m:13s,-85N,41S,-63Avg,-63Nf,58Sf,-61Avgf
2006:10:21_21h:07m:13s,-79N,43S,-61Avg,-64Nf,58Sf,-61Avgf
2006:10:31_21h:07m:13s,-74N,41S,-57Avg,-64Nf,58Sf,-61Avgf
2006:11:10_21h:07m:13s,-67N,40S,-53Avg,-64Nf,58Sf,-61Avgf
2006:11:20_21h:07m:13s,-70N,52S,-61Avg,-64Nf,58Sf,-61Avgf
2006:11:30_21h:07m:13s,-65N,55S,-60Avg,-64Nf,58Sf,-61Avgf
2006:12:10_21h:07m:13s,-63N,60S,-61Avg,-64Nf,58Sf,-61Avgf
2006:12:20_21h:07m:13s,-56N,64S,-60Avg,-64Nf,58Sf,-61Avgf
2006:12:30_21h:07m:13s,-59N,75S,-67Avg,-64Nf,58Sf,-61Avgf
2007:01:09_21h:07m:13s,-50N,76S,-63Avg,-64Nf,58Sf,-61Avgf
2007:01:19_21h:07m:13s,-47N,77S,-62Avg,-64Nf,58Sf,-61Avgf
2007:01:29_21h:07m:13s,-34N,77S,-55Avg,-64Nf,58Sf,-61Avgf
2007:02:08_21h:07m:13s,-30N,83S,-56Avg,-63Nf,58Sf,-61Avgf
2007:02:18_21h:07m:13s,-31N,82S,-56Avg,-63Nf,57Sf,-60Avgf
2007:02:28_21h:07m:13s,-30N,89S,-60Avg,-63Nf,57Sf,-60Avgf
