Carr Rot,Start Date,R_av,R_n,R_s,L_av,L_n,L_s
CR 1832,1990-08-04 22h,71.1,68.9,-73.4,65.1,75,-55.2
CR 1833,1990-09-01 05h,71.1,72.9,-69.2,73.8,73.4,-74.1
CR 1834,1990-09-28 11h,72.5,70.6,-74.4,74.8,74.9,-74.7
CR 1835,1990-10-25 18h,66.1,62.4,-69.8,75,74.8,-75.1
CR 1836,1990-11-22 00h,63.2,55.4,-70.9,68.7,74,-63.4
CR 1837,1990-12-19 07h,44,47,-40.9,61.4,69.2,-53.6
CR 1838,1991-01-15 14h,60.9,50.6,-71.3,63.8,59.7,-67.9
CR 1839,1991-02-11 20h,63.3,56.7,-70,66.7,63.1,-70.2
CR 1840,1991-03-11 03h,58.3,58.1,-58.5,63.7,63.9,-63.4
CR 1841,1991-04-07 09h,54.5,50.5,-58.5,62.9,61.4,-64.3
CR 1842,1991-05-04 16h,49.4,46.7,-52.2,60.8,59.9,-61.6
CR 1843,1991-05-31 23h,49.1,47.4,-50.7,63.3,63.5,-63
CR 1844,1991-06-28 05h,51.4,49.8,-53.1,65.2,65.5,-65
CR 1845,1991-07-25 12h,47.1,43.5,-50.7,60.5,56.2,-64.8
CR 1846,1991-08-21 18h,41,30.8,-51.3,58.8,50.8,-66.8
CR 1847,1991-09-18 01h,41.1,32.6,-49.6,55.9,46.3,-65.4
CR 1848,1991-10-15 08h,40.3,33.2,-47.3,54.6,46.4,-62.7
CR 1849,1991-11-11 14h,38,30.7,-45.4,53.7,47.3,-60.1
CR 1850,1991-12-08 21h,30.8,33.2,-28.3,49.7,52.2,-47.2
CR 1851,1992-01-05 04h,27.6,27,-28.3,45.4,46.6,-44.1
CR 1852,1992-02-01 10h,22.6,24.1,-21,41.7,44.9,-38.5
CR 1853,1992-02-28 17h,24.3,26.4,-22.2,42.9,47.1,-38.7
CR 1854,1992-03-26 23h,25.6,27,-24.2,44.4,49.2,-39.7
CR 1855,1992-04-23 06h,19.5,19.4,-19.5,40.5,42,-39.1
CR 1856,1992-05-20 13h,9.3,2.1,-16.5,23.9,19.2,-28.5
CR 1857,1992-06-16 19h,15.4,9.1,-21.7,32.9,28.9,-36.8
CR 1858,1992-07-14 02h,17.5,9.7,-25.3,39.5,35.9,-43.1
CR 1859,1992-08-10 08h,16.3,4.2,-28.4,39.7,33.3,-46.1
CR 1860,1992-09-06 15h,16,6.9,-25.1,30.4,16.3,-44.5
CR 1861,1992-10-03 22h,16.3,9.7,-22.9,32.4,23.1,-41.7
CR 1862,1992-10-31 04h,17,13.7,-20.4,33.4,28.2,-38.5
CR 1863,1992-11-27 11h,17.6,8.7,-26.5,33.2,20,-46.4
CR 1864,1992-12-24 17h,23.5,12.3,-34.6,35.4,20.4,-50.4
CR 1865,1993-01-21 00h,21.3,5.1,-37.4,36.8,21.5,-52.2
CR 1866,1993-02-17 07h,19.5,5.1,-33.9,33.6,19.1,-48.1
CR 1867,1993-03-16 13h,21.5,10.8,-32.3,37.9,28.5,-47.3
CR 1868,1993-04-12 20h,19.8,12.2,-27.3,34.7,27,-42.5
CR 1869,1993-05-10 02h,20.8,16.6,-25,35.3,31.7,-38.8
CR 1870,1993-06-06 09h,18.6,14.3,-22.9,36.4,30.3,-42.5
CR 1871,1993-07-03 16h,14.9,10.7,-19.1,34.2,27.6,-40.8
CR 1872,1993-07-30 22h,17,14.6,-19.4,34.8,28.5,-41.1
CR 1873,1993-08-27 05h,15.5,11.8,-19.1,32.5,26.3,-38.6
CR 1874,1993-09-23 11h,17.3,14.2,-20.3,30.3,27.8,-32.9
CR 1875,1993-10-20 18h,14.6,12.2,-17,28.7,26.2,-31.1
CR 1876,1993-11-17 01h,17.1,11.7,-22.4,31.9,26.3,-37.4
CR 1877,1993-12-14 07h,18.5,10.5,-26.5,36.7,31.8,-41.6
CR 1878,1994-01-10 14h,18,8.6,-27.4,38.4,33.4,-43.3
CR 1879,1994-02-06 20h,17.7,8.7,-26.7,35,26.9,-43.1
CR 1880,1994-03-06 03h,17.5,9.3,-25.8,35.9,29.2,-42.6
CR 1881,1994-04-02 10h,17.3,10.2,-24.3,35.8,29.7,-42
CR 1882,1994-04-29 16h,17.5,10.4,-24.7,34.7,29.1,-40.3
CR 1883,1994-05-26 23h,15.1,11.2,-18.9,30.7,25.9,-35.6
