%OSF estimates from the combined ACE and Wind 128-second magnetic field and electron data. See the paper 'Estimating the Open Solar Flux from In-Situ Measurements' for more info.
%
%(Anna Frost, 06/04/22)
%
%Year	Month	Day	Hour	Minute	Second	OSF (x10^{14} Wb)	OSF minimum (x10^{14} Wb)	OSF maximum (x10^{14} Wb)	Absolute OSF error (x10^{14} Wb)	Open Flux (%)	Inverted Flux (%)	Newly-Opened Flux (%)	Disconnected Flux (%)	Available Data (%)
2000	7	10	9	57	10	8.320718793	7.850904422	8.790533163	5.646319532	44.93983205	9.782702796	36.87992382	8.397541338	62.75330037
2000	8	6	16	25	58	8.844693051	8.308193808	9.381192293	6.065775705	72.61542915	8.228397742	17.32522796	1.830945144	75.06926713
2000	9	2	22	54	46	8.107916958	7.681394741	8.534439175	5.260564694	70.2821526	11.19149647	13.21720741	5.309143525	97.61516732
2000	9	30	5	23	34	5.686499175	5.403165181	5.969833169	4.982573383	62.94950162	19.32925822	11.74624153	5.974998623	98.65268648
2000	10	27	11	52	22	7.617079869	7.25290021	7.981259527	4.781092819	59.58552056	12.34689414	23.36504812	4.702537183	99.35350682
2000	11	23	18	21	10	7.074950736	6.746304376	7.403597096	4.645210578	71.51020408	12.91972789	11.06394558	4.506122449	99.82615309
2000	12	21	0	49	58	6.142041734	5.854812625	6.429270844	4.676443463	71.17018958	14.16430595	7.621486163	7.044018305	99.71751412
2001	1	17	7	18	46	5.676951868	5.413777498	5.940126239	4.635839389	67.0910179	12.87742778	10.07018117	9.961373157	99.85874939
2001	2	13	13	47	34	5.737434918	5.406016242	6.068853594	5.776425884	66.74115743	16.2210064	14.13269631	2.905139863	70.50035313
2001	3	12	20	16	22	5.798165638	5.515425827	6.080905449	4.876366574	54.33697262	18.54940473	18.19827728	8.915345367	99.02211115
2001	4	9	2	45	10	7.192126771	6.85601568	7.528237863	4.673319903	69.14151868	15.11057849	13.14413335	2.603769474	99.72837897
2001	5	6	9	13	58	7.897891275	7.532004429	8.26377812	4.632715659	72.83359626	18.51166839	5.711798945	2.942936409	99.86961482
2001	6	2	15	42	46	6.712539725	6.397582896	7.027496554	4.692066523	73.05532843	15.14854184	7.326246934	4.469882802	99.66317162
2001	6	29	22	11	34	7.663555477	7.30026583	8.026845124	4.740484333	75.25390412	13.49787048	6.901823741	4.34640166	99.49475743
2001	7	27	4	40	22	5.984410134	5.706234917	6.26258535	4.648331423	63.18166975	22.23250245	8.593664961	5.992162839	99.8152977
2001	8	23	11	9	10	7.212265492	6.74550493	7.679026055	6.471760681	67.2619838	13.06599389	15.58225999	4.089762316	81.8275656
2001	9	19	17	37	58	6.687071229	6.26731505	7.106827409	6.277130379	46.90092439	13.27328751	26.3865845	13.4392036	91.68251209
